Deutsch;main
Englisch;lang
Französisch;lang
Spanisch;lang
Latein;lang
Musik;art
Kunst;art
DS;art
Politikwissenschaften;social
Geschichte;social
Erdkunde;social
Psychologie;social
Philosophie;social
Mathematik;main
Physik;sci
Chemie;sci
Biologie;sci
Informatik;rdm
Zusatzkurs;rdm
Sport;main
Sporttheorie;rdm
